tier,idx,arm,prompt_toks,rounds,drafted,accepted,acc_per_round,acc_rate,bonus,total_new,draft_call_ms,draft_call_ms_warm,match_vs_full,run_id
16384,0,full,16413,54,270,74,1.370,0.274,54,129,6.24,6.24,,xxk5nkqv
16384,0,sparse,16413,54,270,73,1.352,0.270,54,128,4.23,4.23,1,xxk5nkqv
16384,0,delta2,16413,54,270,73,1.352,0.270,54,128,5.24,5.25,1,xxk5nkqv
16384,0,delta4,16413,54,270,73,1.352,0.270,54,128,4.73,4.73,1,xxk5nkqv
16384,1,full,16412,57,285,70,1.228,0.246,57,128,6.27,6.26,,xxk5nkqv
16384,1,sparse,16412,59,295,68,1.153,0.231,59,128,4.21,4.21,1,xxk5nkqv
16384,1,delta2,16412,55,275,72,1.309,0.262,55,128,5.25,5.25,1,xxk5nkqv
16384,1,delta4,16412,57,285,70,1.228,0.246,57,128,4.72,4.73,1,xxk5nkqv
16384,2,full,16412,55,275,72,1.309,0.262,55,128,6.26,6.26,,xxk5nkqv
16384,2,sparse,16412,55,275,72,1.309,0.262,55,128,4.23,4.23,1,xxk5nkqv
16384,2,delta2,16412,55,275,72,1.309,0.262,55,128,5.26,5.26,1,xxk5nkqv
16384,2,delta4,16412,55,275,72,1.309,0.262,55,128,4.74,4.74,1,xxk5nkqv
16384,3,full,16412,51,255,76,1.490,0.298,51,128,6.30,6.29,,xxk5nkqv
16384,3,sparse,16412,53,265,74,1.396,0.279,53,128,4.25,4.25,1,xxk5nkqv
16384,3,delta2,16412,54,270,73,1.352,0.270,54,128,5.25,5.26,1,xxk5nkqv
16384,3,delta4,16412,54,270,73,1.352,0.270,54,128,4.73,4.73,1,xxk5nkqv
16384,4,full,16412,61,305,66,1.082,0.216,61,128,6.29,6.29,,xxk5nkqv
16384,4,sparse,16412,61,305,66,1.082,0.216,61,128,4.22,4.22,1,xxk5nkqv
16384,4,delta2,16412,61,305,66,1.082,0.216,61,128,5.25,5.25,1,xxk5nkqv
16384,4,delta4,16412,61,305,66,1.082,0.216,61,128,4.73,4.73,1,xxk5nkqv
16384,5,full,16412,64,320,63,0.984,0.197,64,128,6.30,6.30,,xxk5nkqv
16384,5,sparse,16412,67,335,60,0.896,0.179,67,128,4.23,4.23,1,xxk5nkqv
16384,5,delta2,16412,66,330,61,0.924,0.185,66,128,5.26,5.26,1,xxk5nkqv
16384,5,delta4,16412,66,330,61,0.924,0.185,66,128,4.73,4.73,1,xxk5nkqv
